TRANSACTION_ID,TRANSACTION_TYPE,TRANSACTION_PURPOSE
61343940-11e3-4ef9-900d-78dee080a8792C94E69F96ADEF883D82F746567BDBD1A1563ECD5C0C0E406FA53055BA45CBBB,Debit,Gym Membership
61343940-11e3-4ef9-900d-78dee080a87936CAE325FD649791D2C5C414B187D080D068D0C0103A5D6005FA77574678558E,Debit,Enjoyment
61343940-11e3-4ef9-900d-78dee080a8795A5BA4AEC08FDECB77BEE2B2AF8CB37CE0C66773C64918B9720DBCA87B475700,Debit,Transfers
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9D9DADCB0883D3D0B6693EED740DFACF5E15E81944CFDF0E175254DB6D87843B1,Debit,Enjoyment
61343940-11e3-4ef9-900d-78dee080a8797D0707EE512565E556442242B9693413DDA6515ED45089566FC961AC8E260FA2,Debit,No Tag
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9A7AA1A734716E577D952408BF440F89EB980F194EEDD7F7BF9A09AB99BF975ED,Credit,No Tag
61343940-11e3-4ef9-900d-78dee080a879CCBACAFB40BE19B16B5C40655A122B38C27BC1BF84427BA7E88F1FEEDEC153E4,Debit,Gambling
61343940-11e3-4ef9-900d-78dee080a8791A089E81C06E543C154629AB6D6E64C5A34745D3286AD8E757A516BD69BD1D5E,Credit,No Tag
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f98EC57DDC032BB5E917BB761C974F7DF14DABEE3556A5941D4EF8E3DA3C083F81,Debit,Enjoyment
9219ccc1-8148-486d-bff1-891693d2fafdE514B582074666CCB1C37EDA547F58E8D887A3A7E8B88D06A4BC1203AC961955,Debit,"Food, Groceries, Household"
9219ccc1-8148-486d-bff1-891693d2fafd66ACFADBA390BC424DDB6A7D468B88C0646BBF17A5F542027C12F4F148E03FB4,Debit,Personal Loan
9219ccc1-8148-486d-bff1-891693d2fafdB291F358D7EF7A30EE2BBBAB717749B549C4BFBDA5307C3CAED173F830703EBD,Debit,Personal Loan
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f93E7719709638E294CF48C85AE1CD50F2FE0134BC0715666A1EBA2A6E7ACDC3CD,Debit,"Food, Groceries, Household"
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9E2AABD4634BB41F110ED590CF90B8794963A90085B66201EE41B88796A6881F8,Debit,"Food, Groceries, Household"
61343940-11e3-4ef9-900d-78dee080a87926E1A0C1B273052B5CB32C85DA9A09876CA8ACA76A3C5D4939A5FE3097ADCC44,Debit,"Entertainment, TV, Media"
08cb3cb6-5792-4308-b121-caa94d0a9a5a2076B74B84906FEA28794B3683D213D8922CFE904272AFEE27EEC889D4892937,Debit,Bank charges
61343940-11e3-4ef9-900d-78dee080a879DF38AD2FF44DCA81123A031C18650B1559FCE01F944C520C6833284AD005417F,Debit,No Tag
9219ccc1-8148-486d-bff1-891693d2fafd7CE38ECCB18659FFA176AAEA4F5F2BE9C13BAEEED46FA521393A44E2E43A80C8,Credit,No Tag
9219ccc1-8148-486d-bff1-891693d2fafd31A7C30B05A69F74205ADE64BAB8DC1F1FE6A4A947E2AEDC0442EC0D4DEFE854,Debit,No Tag
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9BB9D0AD807460D735B1C9B30D7752D3BE7B368F7FD9FE3D5F33D1FFEA23DBBAE,Debit,Gambling
9219ccc1-8148-486d-bff1-891693d2fafd44B86636FB105A4942F652BC433C78EE4CC9AAF4FFBF8A5DC5B8084D4D082DA2,Debit,Lunch or Snacks
9219ccc1-8148-486d-bff1-891693d2fafdDEA18B6D9F658EC92CFD29DBDD63EC742E388673B66E5613352F4FF4361081CC,Credit,Family benefits
61343940-11e3-4ef9-900d-78dee080a8792D06109848E51FAB083BD239962236AC1A8C737FE07929616EC42AF9808D7A92,Debit,Gambling
61343940-11e3-4ef9-900d-78dee080a8798CDC155320B1E33AA5A74910C848576637FB7B20F328B9E0420733EF63D3F73B,Debit,Gambling
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9B7831930615783E7B52C03A28523E3DAA414D2C07EC22B75AB5BD84A9859354F,Debit,Transfers
61343940-11e3-4ef9-900d-78dee080a879E0BD95CDC98B27A889E25A3CE9F08A2DC93D1F22FC367C4F112D421C9CC81EFD,Debit,"Food, Groceries, Household"
61343940-11e3-4ef9-900d-78dee080a8792115F70E1EE3021949ED550E494928BB8325AB41303FE4D2D9EE73FBCEED247F,Debit,Gambling
9219ccc1-8148-486d-bff1-891693d2fafd70E58ED4A6910EC2ADBA8D67A108DE0F466E86C3438B72F3E0B540C8C5AB099F,Debit,Personal Loan
