MERCHANT_ID,MERCHANT_NAME,MERCHANT_BUSINESS_LINE
-3563482234593244164,Pure Gym,Pure Gym
8475122763193443513,Amazon,Amazon
6204893564810900869,No Merchant,No Merchant Business Line
-4671496543306980058,Tesco,Tesco Finance
3098642881933701501,Waitrose,Waitrose
-2467071673684489568,Klarna,Klarna
-2773113575270000522,Sainsburys,Sainsburys Supermarket
6050755736326541379,Lidl,Lidl
-4186855147820606209,Apple,Apple
-7792254806301965997,No Merchant,Account Provider
160029348234390880,No Merchant,Unknown Merchant
-8766969168774563511,Camelot,Camelot
1365373330144631441,Greggs,Greggs
-1954878585458266675,No Merchant,Public Sector
4799048858763855787,Tesco,Tesco Supermarket
-6115257901688754694,Scotmid Co-Operative,Scotmid Supermarket
5504121738220864490,O2,O2
-1027695090740100267,Nintendo,Nintendo
1318471672518473135,No Merchant,Personal
5588153676062969017,Amazon Prime,Amazon Prime
7776993653092684430,Scottish Gas,Scottish Gas
8829190047099320022,Tesco,Tesco Fuel
1058251488259248665,Sky,Sky
-7943066509695337790,New Look,New Look
-4783099651233193495,TV Licensing,TV Licensing
2113561429854948832,WH Smith,WH Smith
-2620901878383773041,Virgin Games,Virgin Games
-7047455481085078810,Direct Line,Direct Line
3510276677696375377,Youtube Music,Youtube Music
-8991854107232629055,Amazon Music,Amazon Music
-7314473022485008198,Ancestry.com,Ancestry.com
6320909809869208768,No Merchant,Non Merchant MBL
-3640450251733747090,EDF Energy,EDF Energy
-417121197809131084,Marks and Spencer,Marks & Spencer Simply Food
-6396788128845482331,HX Payments,HX Payments
-8263102142222645701,Poundland,Poundland
3106985730877700378,British Gas,British Gas
561610317729718652,Just Eat,Just Eat
946673558779149352,DVLA,DVLA
-96935169011232377,Argos,Argos Store
-6820435731127933889,Vanquis,Vanquis
-3315820917347287066,Game,Game
-7431625355390535574,Iceland,Iceland
-636208254145871740,B&Q,B&Q
8712228289908457124,B&M,B&M
-5995873042133760628,Hamleys,Hamleys
-6384677824137749096,Decathlon,Decathlon
-4344999707746988544,Matalan,Matalan
-1124171057458323988,Card Factory,Card Factory
2424999555774069855,Morrisons,Morrisons Supermarket
-8040768213610375081,Virgin Media,Virgin Media
-2396010899220879540,Co-op,Co-op Supermarket
-7627483160653396517,McDonalds,McDonalds
-6073783042609708852,PayPal,PayPal
-186017193116021704,Rock Insurance,Rock Insurance
-7427554432483263210,Subway,Subway
3057504772989932513,Sports Direct,Sports Direct
-49336060117791233,Lloyds,Lloyds
-1106156470763762781,Boots,Boots
999081708111367415,Lowell Portfolio,Lowell Portfolio
8104411591078162120,Costa,Costa
299377020544300460,RAC,RAC Breakdown
-9104111665569565909,Budgens,Budgens
658072649746843206,eBay.co.uk,eBay.co.uk
-6205507493275713425,Spotify,Spotify
-1313078488317345680,Netflix,Netflix
-8951096316719580094,Capital One,Capital One
-2032598565349650652,Wilkinson,Wilkinson
-8140546437419591941,Sainsburys,Sainsburys Fuel
3183688905510310949,Aldi,Aldi
-2882877490962961713,Ringgo,Ringgo
6860181825818390146,SkyBet,SkyBet
8151582489308296778,Zopa,Zopa
-5686037760514010975,Screwfix,Screwfix
3801780416442875285,British Red Cross,British Red Cross
4149022223028899861,Heron Foods,Heron Foods
2387388020404588412,Thames Water,Thames Water
8965567574656716084,Superdry,Superdry
-798275711124182844,Savers - Health & Beauty,Savers - Health & Beauty
9081323289762524207,Parent Pay,Parent Pay
3062266153685085937,Dominos,Dominos
8567119799055376407,Skechers,Skechers
-390924086976154525,Halifax,Halifax
-8455564781435389076,Yorkshire Water,Yorkshire Water
1703063026653135343,Shell,Shell
-8187487180924775279,Tui,Tui
8004374188471720063,V12 Finance,V12 Finance
6506888350851713156,KFC,KFC
-660925927329942784,HomeServe,HomeServe
-6238799750887164980,Halfords,Halfords
6899970374246140595,GoCardless,GoCardless
3951600565504472860,BooHoo,BooHoo
1728606639878434113,British Heart Foundation,British Heart Foundation
4509728607029534896,Google,Google
-2404437033684982495,Great Western Railway,Great Western Railway
-2546118409656620698,Vodafone,Vodafone
5064134199271566601,LV,LV
-2533359109961221905,Mountain Warehouse,Mountain Warehouse
1405363048606929114,M & Co,M & Co
4218599655218878176,Amazon Prime Video,Amazon Prime Video
2136648138360021431,IKEA,IKEA
2509080085721214135,The Entertainer,The Entertainer
-1838024031928708373,Spar,Spar
2821540391996822613,Home Bargains,Home Bargains
5145949850341416310,Animal Healthcare,Animal Healthcare
4705812210137064624,Burger King,Burger King
2370897646988771914,Cancer Research,Cancer Research
6273436073648940159,NCP,NCP
5654946546057355857,Motor Fuel Group,Motor Fuel Group
-4085083339942698987,Royal Mail,Royal Mail
-8819136304447551468,Aqua,Aqua
